,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
1424,Upgrade,tt6499752,Upgrade,No,,3400000,1:40,2000000,Upgrade,1000.0,movie,Upgrade,Upgrade,2018,100,"Action,Sci-Fi,Thriller"
1375,2 Hearts,tt5616176,2 Hearts,No,,3300000,1:41,2000000,2 Hearts,1000.0,movie,2 Hearts,2 Hearts,2020,101,"Drama,Romance"
1377,Apollo 13: Survival,tt31852716,Apollo 13: Survival,Yes,2024-09-05,3300000,1:38,2000000,Apollo 13: Survival,2024.0,movie,Apollo 13: Survival,Apollo 13: Survival,2024,98,"Documentary,History"
1389,Girl Haunts Boy,tt20215396,Girl Haunts Boy,No,,3300000,1:41,2000000,Girl Haunts Boy,1000.0,movie,Girl Haunts Boy,Girl Haunts Boy,2024,100,"Comedy,Family,Fantasy"
1390,Half Past Dead,tt0297162,Half Past Dead,No,,3300000,1:39,2000000,Half Past Dead,1000.0,movie,Half Past Dead,Half Past Dead,2002,98,"Action,Crime,Thriller"
1399,Life of a King,tt2708254,Life of a King,No,,3300000,1:41,2000000,Life of a King,1000.0,movie,Life of a King,Life of a King,2013,100,Drama
1400,Lost in Starlight,tt28664733,Lost in Starlight // _ __ ___,Yes,2025-05-30,3300000,1:38,2000000,Lost in Starlight,2025.0,movie,Lost in Starlight,I Byeol-e Pil-yohan,2025,96,"Animation,Comedy,Drama"
1412,Seal Team,tt8456190,Seal Team,No,2021-12-31,3300000,1:41,2000000,Seal Team,2021.0,movie,Seal Team,Seal Team,2021,101,"Action,Animation,Comedy"
1396,Infiesto,tt15789492,Infiesto,Yes,2023-02-03,3200000,1:37,2000000,Infiesto,2023.0,movie,Infiesto,Infiesto,2023,96,"Action,Adventure,Crime"
1420,The Open House,tt7608028,The Open House,Yes,2018-01-19,3200000,1:35,2000000,The Open House,2018.0,movie,The Open House,The Open House,2018,94,"Horror,Thriller"
1426,Wanita Ahli Neraka,tt33771507,Wanita Ahli Neraka,Yes,,3200000,1:35,2000000,Wanita Ahli Neraka,1000.0,movie,Wanita Ahli Neraka,Wanita Ahli Neraka,2024,95,Horror
1385,Dosen Ghaib: Sudah Malam Atau Sudah Tahu,tt30517650,Dosen Ghaib: Sudah Malam Atau Sudah Tahu,No,,3100000,1:35,2000000,Dosen Ghaib: Sudah Malam Atau Sudah Tahu,1000.0,movie,Dosen Ghaib: It's Nighttime or You Already Know,Dosen Ghaib: Sudah Malam Atau Sudah Tahu,2024,94,"Horror,Thriller"
1422,The Silencing,tt7149730,The Silencing,No,,3100000,1:34,2000000,The Silencing,1000.0,movie,The Silencing,The Silencing,2020,93,"Action,Crime,Mystery"
1419,The Devil's Bride,tt33051946,The Devil's Bride // Pengantin Setan,No,,3000000,1:31,2000000,The Devil's Bride,1000.0,movie,The Devil's Bride,Pengantin Setan,2025,91,"Horror,Thriller"
1379,Biggest Heist Ever,tt18224682,Biggest Heist Ever,Yes,2024-12-06,2900000,1:27,2000000,Biggest Heist Ever,2024.0,movie,Biggest Heist Ever,Biggest Heist Ever,2024,85,"Biography,Crime,Documentary"
1384,Don't Breathe,tt4160708,Don't Breathe (2016),No,,2900000,1:29,2000000,Don't Breathe,2016.0,movie,Don't Breathe,Don't Breathe,2016,88,"Crime,Horror,Thriller"
1376,Afraid,tt24577462,Afraid (2024),No,,2800000,1:25,2000000,Afraid,2024.0,movie,Afraid,AfrAId,2024,84,"Horror,Mystery,Sci-Fi"
1381,Chacun chez soi,tt11013468,Chacun chez soi,No,,2800000,1:23,2000000,Chacun chez soi,1000.0,movie,Chacun chez soi,Chacun chez soi,2020,83,Comedy
1382,Darkness Falls,tt0282209,Darkness Falls (2003),No,,2800000,1:26,2000000,Darkness Falls,2003.0,movie,Darkness Falls,Darkness Falls,2003,86,"Fantasy,Horror,Mystery"
1398,Latte and the Magic Waterstone,tt9038290,Latte and the Magic Waterstone,No,2020-07-31,2800000,1:23,2000000,Latte and the Magic Waterstone,2020.0,movie,Latte & the Magic Waterstone,Latte Igel und der magische Wasserstein,2019,81,"Adventure,Animation,Comedy"
1373,(Un)lucky Sisters,tt33054529,(Un)lucky Sisters // Las hermanas fantsticas,Yes,2024-08-30,2700000,1:23,2000000,(Un)lucky Sisters,2024.0,movie,(Un)lucky Sisters,Las hermanas fantásticas,2024,82,Comedy
1401,Malibu Rescue: The Next Wave,tt11032990,Malibu Rescue: The Next Wave,Yes,2020-08-04,2400000,1:11,2000000,Malibu Rescue: The Next Wave,2020.0,movie,Malibu Rescue: The Next Wave,Malibu Rescue: The Next Wave,2020,68,Family
1397,Inside the Mind of a Cat,tt21340412,Inside the Mind of a Cat,Yes,2022-08-18,2300000,1:08,2000000,Inside the Mind of a Cat,2022.0,movie,Inside the Mind of a Cat,Inside the Mind of a Cat,2022,67,Documentary
1457,Jawan: Extended Cut,tt15354916,Jawan: Extended Cut // ____: __________ __,Yes,,5500000,2:51,1900000,Jawan: Extended Cut,1000.0,movie,Jawan,Jawan,2023,169,"Action,Crime,Drama"
1430,2nd Miracle in Cell No. 7,tt33701992,2nd Miracle in Cell No. 7,No,,4600000,2:27,1900000,2nd Miracle in Cell No. 7,1000.0,movie,2nd Miracle in Cell No. 7,2nd Miracle in Cell No. 7,2024,147,"Comedy,Drama,Family"
1478,The Big 4,tt15528292,The Big 4,Yes,2022-12-15,4600000,2:22,1900000,The Big 4,2022.0,movie,The Big 4,The Big 4,2022,141,"Action,Comedy,Crime"
1486,The Shawshank Redemption,tt0111161,The Shawshank Redemption,No,,4600000,2:22,1900000,The Shawshank Redemption,1000.0,movie,The Shawshank Redemption,The Shawshank Redemption,1994,142,Drama
1459,Kill Boksoon,tt16900880,Kill Boksoon // ___,Yes,2023-03-31,4500000,2:19,1900000,Kill Boksoon,2023.0,movie,Kill Boksoon,Gil Bok-soon,2023,137,"Action,Thriller"
1462,Meenakshi Sundareshwar,tt13529034,Meenakshi Sundareshwar // ________ __________,Yes,2021-11-05,4500000,2:21,1900000,Meenakshi Sundareshwar,2021.0,movie,Meenakshi Sundareshwar,Meenakshi Sundareshwar,2021,140,"Comedy,Romance"
1481,The Mask of Zorro,tt0120746,The Mask of Zorro,No,,4400000,2:18,1900000,The Mask of Zorro,1000.0,movie,The Mask of Zorro,The Mask of Zorro,1998,136,"Action,Adventure,Comedy"
1443,Bruised,tt8310474,Bruised,Yes,2021-11-24,4200000,2:13,1900000,Bruised,2021.0,movie,Bruised,Bruised,2020,129,"Drama,Sport"
1475,Sorga Vaasal,tt5670578,Sorga Vaasal,No,,4200000,2:15,1900000,Sorga Vaasal,1000.0,short,Sorga vaasal,Sorga vaasal,2015,12,"Comedy,Music,Musical"
1484,The Pale Blue Eye,tt14138650,The Pale Blue Eye,Yes,2023-01-06,4200000,2:10,1900000,The Pale Blue Eye,2023.0,movie,The Pale Blue Eye,The Pale Blue Eye,2022,128,"Crime,Horror,Mystery"
1473,Shaitaan,tt27744786,Shaitaan // _____,Yes,,4100000,2:08,1900000,Shaitaan,1000.0,movie,Shaitaan,Shaitaan,2024,132,"Drama,Horror,Thriller"
1474,She Said,tt11198810,She Said,No,,4000000,2:09,1900000,She Said,1000.0,movie,She Said,She Said,2022,129,"Crime,Drama,History"
1432,Ad Astra,tt2935510,Ad Astra,No,,3900000,2:04,1900000,Ad Astra,1000.0,movie,Ad Astra,Ad Astra,2019,123,"Adventure,Drama,Mystery"
1435,Bandit,tt9853500,Bandit,No,,3900000,2:06,1900000,Bandit,1000.0,movie,Bandit,Bandit,2022,126,"Biography,Crime,Drama"
1442,Bridesmaids,tt1478338,Bridesmaids (2011),No,,3900000,2:05,1900000,Bridesmaids,2011.0,movie,Bridesmaids,Bridesmaids,2011,125,Comedy
1456,Harriet,tt4648786,Harriet,No,,3900000,2:06,1900000,Harriet,1000.0,movie,Harriet,Harriet,2019,125,"Action,Biography,Drama"
1429,1917,tt8579674,1917,No,,3800000,1:59,1900000,1917,1000.0,movie,1917,1917,2019,119,"Action,Drama,War"
1455,Guilty Pleasure,tt32242331,Guilty Pleasure,Yes,,3800000,1:59,1900000,Guilty Pleasure,1000.0,movie,Guilty Pleasure,Guilty Pleasure,2024,119,"Drama,Romance,Thriller"
1458,Kaka Boss,tt30476511,Kaka Boss,Yes,,3800000,2:00,1900000,Kaka Boss,1000.0,movie,Kaka Boss,Kaka Boss,2024,121,"Comedy,Drama"
1477,The Best Man Holiday,tt2083355,The Best Man Holiday,No,,3800000,2:03,1900000,The Best Man Holiday,1000.0,movie,The Best Man Holiday,The Best Man Holiday,2013,123,"Comedy,Drama"
1431,A Business Proposal,tt35295730,A Business Proposal,Yes,,3700000,1:58,1900000,A Business Proposal,1000.0,movie,A Business Proposal,A Business Proposal,2025,117,"Comedy,Drama,Romance"
1437,Believer 2,tt26258204,Believer 2 // __ 2,Yes,2023-11-17,3700000,1:56,1900000,Believer 2,2023.0,movie,Believer 2,Dokjeon 2,2023,114,"Action,Crime,Thriller"
1448,Drawing Closer,tt31078761,Drawing Closer // _____________________,Yes,2024-06-27,3700000,2:00,1900000,Drawing Closer,2024.0,movie,Drawing Closer,"Yomei Ichinen to Senkoku Sareta Boku ga, Yomei Hantoshi no Kimi to Deatta Hanashi",2024,118,"Drama,Romance"
1463,Megan Leavey,tt4899370,Megan Leavey,No,,3700000,1:56,1900000,Megan Leavey,1000.0,movie,Megan Leavey,Megan Leavey,2017,116,"Action,Biography,Drama"
1472,Scream,tt11245972,Scream (2022),No,,3700000,1:55,1900000,Scream,2022.0,movie,Scream,Scream,2022,114,"Horror,Mystery,Thriller"
1488,Total Recall,tt0100802,Total Recall (1990),No,,3600000,1:54,1900000,Total Recall,1990.0,movie,Total Recall,Total Recall,1990,113,"Action,Adventure,Sci-Fi"
1441,Borderless Fog,tt27004149,Borderless Fog // Kabut Berduri,Yes,2024-08-01,3500000,1:52,1900000,Borderless Fog,2024.0,movie,Borderless Fog,Kabut Berduri,2024,110,"Crime,Drama,Mystery"
1447,Detective Conan the Movie: The Bride of Halloween,tt27538775,Detective Conan the Movie: The Bride of Halloween // ___ ______ _________,No,,3500000,1:50,1900000,Detective Conan the Movie: The Bride of Halloween,1000.0,,,,,,
1438,Below Zero,tt9845564,Below Zero // Bajocero,Yes,2021-01-29,3400000,1:47,1900000,Below Zero,2021.0,movie,Below Zero,Bajo cero,2021,106,"Action,Adventure,Crime"
1483,The Other Woman,tt2203939,The Other Woman (2014),No,,3400000,1:49,1900000,The Other Woman,2014.0,movie,The Other Woman,The Other Woman,2014,109,"Comedy,Romance"
1490,Uncommon Valor,tt0086508,Uncommon Valor,No,,3400000,1:45,1900000,Uncommon Valor,1000.0,movie,Uncommon Valor,Uncommon Valor,1983,105,"Action,Drama,Thriller"
1491,What a Girl Wants,tt0286788,What a Girl Wants,No,,3400000,1:45,1900000,What a Girl Wants,1000.0,movie,What a Girl Wants,What a Girl Wants,2003,105,"Comedy,Drama,Family"
1444,Cargo,tt3860916,Cargo,Yes,2018-05-18,3300000,1:44,1900000,Cargo,2018.0,movie,Cargo,Cargo,2017,105,"Drama,Horror,Sci-Fi"
1464,Mosul,tt9252468,Mosul // ______,No,2020-11-26,3300000,1:43,1900000,Mosul,2020.0,movie,Mosul,Mosul,2019,101,"Action,Drama,Thriller"
1468,Rest In Peace,tt28769440,Rest In Peace // Descansar en paz,Yes,2024-03-27,3300000,1:47,1900000,Rest In Peace,2024.0,movie,Rest in Peace,Descansar en paz,2024,105,"Drama,Thriller"
1479,The Blue Lagoon,tt0080453,The Blue Lagoon,No,,3300000,1:45,1900000,The Blue Lagoon,1000.0,movie,The Blue Lagoon,The Blue Lagoon,1980,104,"Adventure,Drama,Romance"
1460,Lara Croft: Tomb Raider,tt0146316,Lara Croft: Tomb Raider,No,,3200000,1:41,1900000,Lara Croft: Tomb Raider,1000.0,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,2001,100,"Action,Adventure,Fantasy"
1461,Mechanic: Resurrection,tt3522806,Mechanic: Resurrection,No,,3200000,1:39,1900000,Mechanic: Resurrection,1000.0,movie,Mechanic: Resurrection,Mechanic: Resurrection,2016,98,"Action,Adventure,Thriller"
1471,Scoop,tt21279806,Scoop,Yes,2024-04-05,3200000,1:43,1900000,Scoop,2024.0,movie,Scoop,Scoop,2024,102,"Biography,Drama"
1480,The Hangover: Part III,tt1951261,The Hangover: Part III,No,,3200000,1:40,1900000,The Hangover: Part III,1000.0,movie,The Hangover Part III,The Hangover Part III,2013,100,"Comedy,Crime"
1440,Blood & Gold,tt18073328,Blood & Gold,Yes,2023-05-26,3100000,1:39,1900000,Blood & Gold,2023.0,movie,Blood & Gold,Blood & Gold,2023,98,"Action,Drama,War"
1449,Eli,tt5294518,Eli,Yes,2019-10-18,3100000,1:38,1900000,Eli,2019.0,movie,Eli,Eli,2019,98,"Drama,Horror,Mystery"
1485,The Perfect Find,tt8400584,The Perfect Find,Yes,2023-06-23,3100000,1:40,1900000,The Perfect Find,2023.0,movie,The Perfect Find,The Perfect Find,2023,99,"Comedy,Drama,Romance"
1434,Arrietty,tt1568921,Arrietty // ____________,No,,3000000,1:35,1900000,Arrietty,1000.0,movie,The Secret World of Arrietty,Karigurashi no Arietti,2010,94,"Adventure,Animation,Drama"
1451,Evil Dead Rise,tt13345606,Evil Dead Rise,No,,3000000,1:37,1900000,Evil Dead Rise,1000.0,movie,Evil Dead Rise,Evil Dead Rise,2023,96,Horror
1454,"Good Luck to You, Leo Grande",tt13352968,"Good Luck to You, Leo Grande",No,,3000000,1:37,1900000,"Good Luck to You, Leo Grande",1000.0,movie,"Good Luck to You, Leo Grande","Good Luck to You, Leo Grande",2022,97,"Comedy,Drama"
1465,Naked,tt6048930,Naked,Yes,2017-08-11,3000000,1:37,1900000,Naked,2017.0,movie,Naked,Naked,2017,96,"Comedy,Fantasy,Romance"
1467,Resident Evil: Apocalypse,tt0318627,Resident Evil: Apocalypse,No,,3000000,1:34,1900000,Resident Evil: Apocalypse,1000.0,movie,Resident Evil: Apocalypse,Resident Evil: Apocalypse,2004,94,"Action,Horror,Sci-Fi"
1469,Restless,tt14465894,Restless // Sans rpit,Yes,2022-02-25,3000000,1:37,1900000,Restless,2022.0,movie,Restless,Sans répit,2022,95,"Action,Crime,Thriller"
1445,Cujo,tt0085382,Cujo,No,,2900000,1:33,1900000,Cujo,1000.0,movie,Cujo,Cujo,1983,93,"Horror,Thriller"
1446,Death at a Funeral,tt1321509,Death at a Funeral (2010),No,,2900000,1:33,1900000,Death at a Funeral,2010.0,movie,Death at a Funeral,Death at a Funeral,2010,92,"Comedy,Drama"
1450,Escape,tt31898445,Escape // __,No,,2900000,1:34,1900000,Escape,1000.0,movie,Escape,Talju,2024,94,"Action,Adventure,Thriller"
1452,Final Destination 2,tt0309593,Final Destination 2,No,,2900000,1:30,1900000,Final Destination 2,1000.0,movie,Final Destination 2,Final Destination 2,2003,90,"Horror,Thriller"
1453,Freaks Ð You're One of Us,tt12875782,Freaks Ð You're One of Us // Freaks Ð Du bist eine von uns,Yes,2020-09-02,2900000,1:33,1900000,Freaks Ð You're One of Us,2020.0,movie,Freaks: You're One of Us,Freaks - Du bist eine von uns,2020,92,"Drama,Fantasy,Sci-Fi"
1439,Big Fat Liar,tt0265298,Big Fat Liar,No,,2800000,1:28,1900000,Big Fat Liar,1000.0,movie,Big Fat Liar,Big Fat Liar,2002,88,"Adventure,Comedy,Family"
1482,The Miracle Club,tt12712604,The Miracle Club,No,,2800000,1:30,1900000,The Miracle Club,1000.0,movie,The Miracle Club,The Miracle Club,2023,90,"Comedy,Drama"
1433,Army of One,tt7153488,Army of One (2020),No,,2700000,1:27,1900000,Army of One,2020.0,movie,Army of One,Army of One,2020,87,Action
1470,Romance in Style,tt21653744,Romance in Style,No,,2700000,1:27,1900000,Romance in Style,1000.0,movie,Romance in Style,Romance in Style,2022,84,"Comedy,Romance"
1466,Pokmon: The Arceus Chronicles,tt21970564,Pokmon: The Arceus Chronicles,No,2022-09-23,2100000,1:05,1900000,Pokmon: The Arceus Chronicles,2022.0,tvMiniSeries,Pokémon: The Arceus Chronicles,Poketto monsutâ: Kami to yobareshi aruseusu,2022,18,"Action,Adventure,Animation"
1436,Barbie & Stacie to the Rescue,tt31181357,Barbie & Stacie to the Rescue,Yes,,1900000,1:01,1900000,Barbie & Stacie to the Rescue,1000.0,tvMovie,Barbie and Stacie to the Rescue,Barbie and Stacie to the Rescue,2024,60,"Animation,Family"
1487,The Wonderful Story of Henry Sugar,tt16968450,The Wonderful Story of Henry Sugar,Yes,2023-09-27,1300000,0:41,1900000,The Wonderful Story of Henry Sugar,2023.0,short,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,2023,40,"Adventure,Comedy,Drama"
1489,Turminha Paraso,tt14036972,Turminha Paraso,No,,900000,0:28,1900000,Turminha Paraso,1000.0,tvMiniSeries,Turminha Paraiso,Turminha Paraiso,2014,\N,Animation
1476,The After,tt2834832,The After,Yes,2023-10-25,600000,0:19,1900000,The After,2023.0,movie,The After,The After,2012,105,"Comedy,Drama,Romance"
1537,The Hateful Eight,tt3460252,The Hateful Eight,No,,5000000,2:48,1800000,The Hateful Eight,1000.0,movie,The Hateful Eight,The Hateful Eight,2015,168,"Crime,Drama,Mystery"
1511,Girls to Buy,tt11871074,Girls to Buy // Dziewczyny zÊDubaju,No,,4300000,2:24,1800000,Girls to Buy,1000.0,movie,Girls to Buy,Dziewczyny z Dubaju,2021,146,"Action,Crime,Drama"
1520,Man of Steel,tt0770828,Man of Steel (2013),No,,4300000,2:23,1800000,Man of Steel,2013.0,movie,Man of Steel,Man of Steel,2013,143,"Action,Adventure,Sci-Fi"
1536,The Devil All The Time,tt7395114,The Devil All The Time,Yes,2020-09-16,4200000,2:19,1800000,The Devil All The Time,2020.0,movie,The Devil All the Time,The Devil All the Time,2020,138,"Crime,Drama,Thriller"
1546,The Swimmers,tt8745676,The Swimmers,Yes,2022-11-23,4100000,2:16,1800000,The Swimmers,2022.0,movie,The Swimmers,The Swimmers,2022,134,"Biography,Drama,Sport"
1541,The Matrix,tt0133093,The Matrix,No,,4000000,2:16,1800000,The Matrix,1000.0,movie,The Matrix,The Matrix,1999,136,"Action,Sci-Fi"
1548,Top Gun: Maverick,tt1745960,Top Gun: Maverick,No,,4000000,2:10,1800000,Top Gun: Maverick,1000.0,movie,Top Gun: Maverick,Top Gun: Maverick,2022,130,"Action,Drama"
1543,The Paradise of Thorns,tt32362515,The Paradise of Thorns // _________,No,,3900000,2:11,1800000,The Paradise of Thorns,1000.0,movie,The Paradise of Thorns,Wiman Nam,2024,131,"Drama,Thriller"
1551,We Have a Ghost,tt7798604,We Have a Ghost,Yes,2023-02-24,3900000,2:07,1800000,We Have a Ghost,2023.0,movie,We Have a Ghost,We Have a Ghost,2023,126,"Adventure,Comedy,Family"
1526,Operation Mincemeat,tt1879016,Operation Mincemeat,No,2022-05-11,3800000,2:08,1800000,Operation Mincemeat,2022.0,movie,Operation Mincemeat,Operation Mincemeat,2021,128,"Drama,War"
1535,Suzume,tt16428256,Suzume // ________,No,,3600000,2:02,1800000,Suzume,1000.0,movie,Suzume,Suzume no Tojimari,2022,122,"Adventure,Animation,Drama"
1507,Enough,tt0278435,Enough (2002),No,,3500000,1:55,1800000,Enough,2002.0,movie,Enough,Enough,2002,115,"Crime,Drama,Thriller"
1517,Logan Lucky,tt5439796,Logan Lucky,No,,3500000,1:59,1800000,Logan Lucky,1000.0,movie,Logan Lucky,Logan Lucky,2017,118,"Action,Comedy,Crime"
1521,Medieval,tt8883486,Medieval,No,,3500000,2:00,1800000,Medieval,1000.0,movie,Medieval,Medieval,2022,125,"Action,Drama,History"
1545,The Pursuit of Happyness,tt0454921,The Pursuit of Happyness (2006),No,,3500000,1:57,1800000,The Pursuit of Happyness,2006.0,movie,The Pursuit of Happyness,The Pursuit of Happyness,2006,117,"Biography,Drama"
1500,Boyz n the Hood,tt0101507,Boyz n the Hood,No,,3400000,1:52,1800000,Boyz n the Hood,1000.0,movie,Boyz n the Hood,Boyz n the Hood,1991,112,"Crime,Drama"
1539,The Last: Naruto the Movie,tt3717532,The Last: Naruto the Movie,No,,3400000,1:52,1800000,The Last: Naruto the Movie,1000.0,movie,The Last: Naruto the Movie,The Last: Naruto the Movie,2014,112,"Action,Adventure,Animation"
1540,The Man from U.N.C.L.E.,tt1638355,The Man from U.N.C.L.E. (2015),No,,3400000,1:56,1800000,The Man from U.N.C.L.E.,2015.0,movie,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,2015,116,"Action,Adventure,Comedy"
1493,99 Homes,tt2891174,99 Homes,No,,3300000,1:51,1800000,99 Homes,1000.0,movie,99 Homes,99 Homes,2014,112,"Crime,Drama"
1503,Cell 211,tt1242422,Cell 211 // Celda 211,No,,3200000,1:48,1800000,Cell 211,1000.0,movie,Cell 211,Celda 211,2009,113,"Action,Crime,Drama"
1524,Nanny McPhee and the Big Bang,tt1415283,Nanny McPhee and the Big Bang,No,,3200000,1:49,1800000,Nanny McPhee and the Big Bang,1000.0,movie,Nanny McPhee Returns,Nanny McPhee and the Big Bang,2010,109,"Comedy,Family,Fantasy"
1527,Perewangan,tt31434122,Perewangan,No,,3200000,1:49,1800000,Perewangan,1000.0,movie,Perewangan,Perewangan,2024,109,"Horror,Mystery,Thriller"
1532,Risky Business,tt33311826,Risky Business // Modal Nekad,No,,3200000,1:47,1800000,Risky Business,1000.0,movie,Risky Business,Modal Nekad,2024,107,"Comedy,Crime,Drama"
1544,The Postcard Killings,tt4106514,The Postcard Killings,No,,3200000,1:44,1800000,The Postcard Killings,1000.0,movie,The Postcard Killings,The Postcard Killings,2020,104,"Crime,Drama,Mystery"
1552,Whiplash,tt2582802,Whiplash (2014),No,,3200000,1:47,1800000,Whiplash,2014.0,movie,Whiplash,Whiplash,2014,106,"Drama,Music"
1494,A Lagos Love Story,tt36628631,A Lagos Love Story,No,,3100000,1:45,1800000,A Lagos Love Story,1000.0,movie,A Lagos Love Story,A Lagos Love Story,2025,104,"Comedy,Romance"
1497,A Whisker Away,tt11958344,A Whisker Away // ___________,Yes,2020-06-18,3100000,1:45,1800000,A Whisker Away,2020.0,movie,A Whisker Away,Nakitai watashi wa neko o kaburu,2020,104,"Adventure,Animation,Drama"
1498,Ashes,tt21308718,Ashes // Kl,Yes,2024-02-09,3100000,1:41,1800000,Ashes,2024.0,movie,Ashes,Kül,2024,100,"Drama,Romance"
1512,Hardball,tt0180734,Hardball (2001),No,,3100000,1:46,1800000,Hardball,2001.0,movie,Hardball,Hard Ball,2001,106,"Comedy,Drama,Sport"
1518,Make Me Believe,tt21257152,Make Me Believe // Sen _nandõr,Yes,2023-06-23,3100000,1:44,1800000,Make Me Believe,2023.0,movie,Make Me Believe,Sen Inandir,2023,104,"Comedy,Romance"
1523,Mr. Harrigan's Phone,tt12908110,Mr. Harrigan's Phone,Yes,2022-10-05,3100000,1:46,1800000,Mr. Harrigan's Phone,2022.0,movie,Mr. Harrigan's Phone,Mr. Harrigan's Phone,2022,104,"Drama,Horror,Mystery"
1549,Tyson's Run,tt3580748,Tyson's Run,No,,3100000,1:43,1800000,Tyson's Run,1000.0,movie,Tyson's Run,Tyson's Run,2022,103,Drama
1554,Yes Man,tt1068680,Yes Man,No,,3100000,1:44,1800000,Yes Man,1000.0,movie,Yes Man,Yes Man,2008,104,"Comedy,Romance"
1501,Bridget Jones's Diary,tt0243155,Bridget Jones's Diary,No,,3000000,1:38,1800000,Bridget Jones's Diary,1000.0,movie,Bridget Jones's Diary,Bridget Jones's Diary,2001,97,"Comedy,Drama,Romance"
1510,"Game Over, Man!",tt3317234,"Game Over, Man!",Yes,2018-03-23,3000000,1:42,1800000,"Game Over, Man!",2018.0,movie,"Game Over, Man!","Game Over, Man!",2018,101,"Action,Comedy"
1530,Resident Evil,tt0120804,Resident Evil (2002),No,,3000000,1:41,1800000,Resident Evil,2002.0,movie,Resident Evil,Resident Evil,2002,100,"Action,Horror,Sci-Fi"
1542,The Noel Diary,tt13007592,The Noel Diary,Yes,2022-11-24,3000000,1:41,1800000,The Noel Diary,2022.0,movie,The Noel Diary,The Noel Diary,2022,99,"Comedy,Drama,Romance"
1550,Uncle Buck,tt0098554,Uncle Buck (1989),No,,3000000,1:40,1800000,Uncle Buck,1989.0,movie,Uncle Buck,Uncle Buck,1989,100,Comedy
1499,Blue Miracle,tt7084386,Blue Miracle,Yes,2021-05-27,2900000,1:37,1800000,Blue Miracle,2021.0,movie,Blue Miracle,Blue Miracle,2021,95,"Adventure,Biography,Drama"
1506,DJ Cinderella,tt8716800,DJ Cinderella // Cinderela Pop,Yes,2019-06-14,2900000,1:35,1800000,DJ Cinderella,2019.0,movie,DJ Cinderella,Cinderela Pop,2019,95,"Family,Music,Romance"
1508,Falling for Christmas,tt14715170,Falling for Christmas,Yes,2022-11-10,2900000,1:35,1800000,Falling for Christmas,2022.0,movie,Falling for Christmas,Falling for Christmas,2022,93,"Comedy,Romance"
1525,Nappily Ever After,tt0365545,Nappily Ever After,Yes,2018-09-21,2900000,1:39,1800000,Nappily Ever After,2018.0,movie,Nappily Ever After,Nappily Ever After,2018,98,"Comedy,Drama,Romance"
1534,STAND BY ME Doraemon 2,tt13428402,STAND BY ME Doraemon 2 // STAND BY ME _____ 2,No,2021-09-30,2900000,1:38,1800000,STAND BY ME Doraemon 2,2021.0,movie,Stand by Me Doraemon 2,Stand by Me Doraemon 2,2020,96,"Animation,Comedy,Drama"
1547,The Transporter Refueled,tt2938956,The Transporter Refueled,No,,2900000,1:36,1800000,The Transporter Refueled,1000.0,movie,The Transporter Refueled,The Transporter Refueled,2015,96,"Action,Thriller"
1492,3 Ninjas: Kick Back,tt0109015,3 Ninjas: Kick Back,No,,2800000,1:33,1800000,3 Ninjas: Kick Back,1000.0,movie,3 Ninjas Kick Back,3 Ninjas Kick Back,1994,93,"Action,Comedy,Family"
1509,Final Destination 3,tt0414982,Final Destination 3,No,,2800000,1:33,1800000,Final Destination 3,1000.0,movie,Final Destination 3,Final Destination 3,2006,93,"Horror,Thriller"
1513,Hot Frosty,tt32359447,Hot Frosty,Yes,2024-11-13,2800000,1:32,1800000,Hot Frosty,2024.0,movie,Hot Frosty,Hot Frosty,2024,92,"Comedy,Fantasy,Romance"
1516,Jigsaw,tt3348730,Jigsaw (2017),No,,2800000,1:32,1800000,Jigsaw,2017.0,movie,Jigsaw,Jigsaw,2017,92,"Horror,Mystery,Thriller"
1528,Petak Umpet,tt33355143,Petak Umpet,No,,2800000,1:32,1800000,Petak Umpet,1000.0,movie,Hide and Seek,Petak Umpet,2024,84,Horror
1533,Riverdance: The Animated Adventure,tt10841088,Riverdance: The Animated Adventure,No,2022-01-14,2800000,1:34,1800000,Riverdance: The Animated Adventure,2022.0,movie,Riverdance: The Animated Adventure,Riverdance: The Animated Adventure,2021,90,"Adventure,Animation,Comedy"
1553,Wrong Place,tt15837458,Wrong Place,No,,2800000,1:36,1800000,Wrong Place,1000.0,movie,Wrong Place,Wrong Place,2022,96,"Action,Crime,Thriller"
1555,You Will Die In 6 Hours,tt33478321,You Will Die In 6 Hours // 6__ _ __ ___,No,,2800000,1:31,1800000,You Will Die In 6 Hours,1000.0,movie,You Will Die in 6 Hours,You Will Die in 6 Hours,2024,91,"Mystery,Thriller"
1495,A Royal Date for Christmas,tt28188089,A Royal Date for Christmas,No,,2700000,1:28,1800000,A Royal Date for Christmas,1000.0,tvMovie,A Royal Date for Christmas,A Royal Date for Christmas,2023,90,"Comedy,Romance"
1496,A Thousand Words,tt0763831,A Thousand Words,No,,2700000,1:32,1800000,A Thousand Words,1000.0,movie,A Thousand Words,A Thousand Words,2012,91,"Comedy,Drama,Fantasy"
